#,الجامعة,الدولة,المدينة,الموقع الرسمي,city_fill_method
4,Allied Institute of Professional Studies,United Arab Emirates,,,
15,Danish Institute of Higher Education,Afghanistan,,https://www.danish.edu.af/,
16,Fajristan Institute of Higher Education,Afghanistan,,,
18,Information & Communication Technology Institute,Afghanistan,,,
19,Islamic Azad University Afghanistan,Afghanistan,,https://iau.af/,
20,Islamic Azad University Afghanistan Branch,Afghanistan,,https://iau.af/,
22,Khana e Noor University,Afghanistan,,https://khana-e-noor.edu.af/,
23,Mashal University,Afghanistan,,https://mashal.edu.af/,
24,Mawlana University,Afghanistan,,https://mawlana.edu.af/,
28,Sheikh Zayed University,Afghanistan,,https://szu.edu.af/,
30,Canadian Institute Of Technology,Albania,,https://cit.edu.al/,
31,Center of Albanological Studies,Albania,,,
32,European University for Tourism,Albania,,,
39,Armenian National Agricultural University,Armenia,,https://anau.am/,
42,European Regional Academy,Armenia,,,
43,Mesrop Mashtots University Stepanakert,Armenia,,,
47,University of Foreign Economic Relations,Armenia,,,
48,Urartu University of Practical Psychology & Sociology,Armenia,,,
49,USEL University,Armenia,,,
55,Jose Eduardo dos Santos University,Angola,,,
57,November 11th University,Angola,,,
58,Argentine Business University,Argentina,,,
59,Arthur Jauretche National University,Argentina,,,
63,Caece University,Argentina,,,
65,Catholic University of Cuyo Rodeo del Medio,Argentina,,,
71,Catholic University Of The Silver,Argentina,,,
73,Cemic University Institute,Argentina,,,
75,Cinema University,Argentina,,,
77,Interamerican Open University,Argentina,,,
79,John Augustine Maza University,Argentina,,,
80,John F Kennedy Argentine University,Argentina,,,
81,Latin American Faculty Of Social Sciences Argentina,Argentina,,,
83,Merchant Marine University,Argentina,,,
84,Metropolitan University for Education & Work,Argentina,,,
85,National University February Three,Argentina,,,
99,National University Of Southern Patagonia,Argentina,,,
100,National University Of The Arts,Argentina,,,
103,National University Of The Coast,Argentina,,,
106,National University of the West,Argentina,,,
109,Naval University Institute,Argentina,,,
110,Northern University St Thomas Aquinas,Argentina,,,
111,Pontifical Catholic University Of Argentina,Argentina,,,
112,Silver Adventist University,Argentina,,,
113,Southwestern Provincial University,Argentina,,,
116,University Institute Argentine Business School,Argentina,,,
118,University Institute Of Health Sciences Barcelo,Argentina,,,
120,University Of Congress,Argentina,,,
125,University Of The Argentine Social Museum,Argentina,,,
126,University Of The Latin American Educational Center,Argentina,,,
127,University Of The Plata Basin,Argentina,,,
128,&nbsp;,Austria,,,
130,Austrian Universities of Technology TU Austria,Austria,,,
131,Carinthia University of Education,Austria,,,
137,Module University,Austria,,,
138,New Design University,Austria,,,
139,Paracelsus Medical Private University,Austria,,,
142,Private Padagogische Hochschule Augustinum,Austria,,,
143,Saint Polten University Of Applied Sciences,Austria,,,
146,Styria University Of Education,Austria,,,
147,UMIT Center for Health Professions Tyrol,Austria,,,
148,University of Applied Sciences courses in Burgenland,Austria,,,
163,Chifley Business School,Australia,,,
164,Christ College,Australia,,,
171,Law Society of South Australia,Australia,,,
172,Malyon College,Australia,,,
174,Morling College Morling Education,Australia,,,
175,Paramount College of Natural Medicine,Australia,,,
177,Southbank Institute of Technology,Australia,,,
181,Tabor College Tasmania,Australia,,,
182,Tabor College Victoria,Australia,,,
183,TAFE NSW Higher Education,Australia,,,
189,Vose Seminary,Australia,,,
190,Caribbean School of Medicine,Aruba,,,
191,Azerbaijan State Agricultural University,Azerbaijan,,,
193,Azerbaijan Tourism Institute,Azerbaijan,,https://tourism.edu.az/,
209,University Of The West Indies Cave Hill Campus Barbados,Barbados,,https://uwichill.edu.bb/,
285,Vuzf University,Bulgaria,,,
286,Royal University For Women,Bahrain,,,
288,Great Lakes University,Burundi,,,
289,International Leadership University Burundi,Burundi,,,
290,National Institute of Public Health,Burundi,,,
292,High School of Commerce & Management,Benin,,,
293,ISCG University,Benin,,,
294,UniversitE Protestante de l'Afrique de l'Ouest,Benin,,,
301,Bolivian Private University,Bolivia,,,
302,Bolivian Technological University Postgraduate,Bolivia,,,
303,Franz Tamayo Private University,Bolivia,,,
305,Higher University Of San Simon,Bolivia,,,
307,Private University Of The Valley,Bolivia,,,
308,Santa Cruz University for Development & Innovation,Bolivia,,,
310,Summit Private University,Bolivia,,,
312,University Of San Andres,Bolivia,,,
314,University Santo Tomas,Bolivia,,,
315,University Unit,Bolivia,,,
316,Air Force University,Brazil,,,
320,Antonino Freire Training Center,Brazil,,,
321,Antonio Propicio Aguiar Franco College FAPAF,Brazil,,,
324,Armando Alvares Penteado Faap Foundation,Brazil,,,
325,Arthur Thomas College,Brazil,,,
